Genel Sıra No;Genel Sıra No (Önceki Yıl);Kuruluş Adı;Yıl;Üretimden Satışlar (Net) (TL);Üretimden Satışlar - Kamu/Özel Sıra No;Net Satışlar (TL);Net Satışlar - Genel Sıra No;Net Satışlar - Kamu/Özel Sıra No;Brüt Katma Değer (TL);Brüt Katma Değer - Genel Sıra No;Brüt Katma Değer - Kamu/Özel Sıra No;Özkaynak (TL);Özkaynak - Genel Sıra No;Özkaynak - Kamu/Özel Sıra No;Aktif Toplamı (TL);Aktif Toplamı - Genel Sıra No;Aktif Toplamı - Kamu/Özel Sıra No;Dönem Karı/Zararı (Vergi Öncesi) (TL);Dönem Karı/Zararı (Vergi Öncesi) - Genel Sıra No;Dönem Karı/Zararı (Vergi Öncesi) - Kamu/Özel Sıra No;FAVÖK (TL);FAVÖK - Genel Sıra No;FAVÖK - Kamu/Özel Sıra No;İhracat (Bin $);İhracat - Genel Sıra No;İhracat - Kamu/Özel Sıra No;Ücretle Çalışanlar Ortalaması (Kişi);Ücretle Çalışanlar Ortalaması - Genel Sıra No;Ücretle Çalışanlar Ortalaması - Kamu/Özel Sıra No;Bağlı Olduğu Oda;Sermaye Payı / Kamu;Sermaye Payı / Özel;Sermaye Payı / Yabancı;Sermaye Payı / Halka Açık;NACE;NACE Kodu;ISIC Sektör Tanımı;ISIC Kodu;Web Adresi;İl;İlçe;Adres;Telefon 1;Telefon 2;Eposta;Posta Kodu
47;73;OYAK Çimento Fabrikaları A.Ş.;2023;23.517.787.353;44;23.885.664.850;53;50;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Ankara Sanayi Odası;-;75,81;-;24,19;Diğer metalik olmayan mineral ürünlerin imalatı;23;Taş ve Toprağa Dayalı Diğer Sanayi;369;www.oyakcimento.com.tr;Ankara;Çankaya;Çukurambar Mah. 1480 Sok. No.2 A/56 ;(312) 2200290;-;iletisim@oyakcimento.com;06530
48;41;Kazan Soda Elektrik Üretim A.Ş.;2023;23.282.602.534;45;23.565.505.522;55;52;-;-;-;36.577.619.706;26;23;45.921.988.673;38;34;-;-;-;-;-;-;744.896;19;18;831;279;266;Ankara Sanayi Odası;-;100,00;-;-;Diğer madencilik ve taş ocakçılığı;08;"Madencilik ve Taşocakçılığı
";210;www.kazansoda.com;Ankara;Sincan;İncirlik Küme Evleri No.122 Yenikent;(312) 9699801;(312) 9699801;iletisim@kazansoda.com;06560
49;42;İzmir Demir Çelik Sanayi A.Ş.;2023;23.036.431.810;46;25.391.404.651;46;43;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Ege Bölgesi Sanayi Odası;-;71,13;-;28,87;Ana metal sanayii;24;Demir-Çelik Ana Metal Sanayi;371;www.izdemir.com.tr;İzmir;Konak;Şair Eşref Bulvarı No.23 Çankaya;(232) 4415050;-;info@izdemir.com.tr;35210
50;65;ROKETSAN Roket San. ve Tic. A.Ş.;2023;22.472.676.014;47;22.500.834.789;60;57;13.990.207.192;20;18;25.462.362.696;37;34;64.992.009.854;23;21;3.975.048.789;37;34;-;-;-;359.166;39;37;4.865;29;26;Ankara Sanayi Odası;-;100,00;-;-;Fabrikasyon metal ürünleri imalatı (makine ve teçhizat hariç);25;Metal Eşya Sanayi;381;www.roketsan.com.tr;Ankara;Elmadağ;Kemalpaşa Mah. Şehit Yüzbaşı Adem Kutlu Sok. No.21 ;(312) 8605500;-;pazarlama@roketsan.com.tr;06780
51;72;Philip Morris Tütün Mamulleri San. ve Tic. A.Ş.;2023;20.754.649.650;48;22.507.144.092;59;56;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;148.062;140;137;-;-;-;İstanbul Sanayi Odası;-;25,00;75,00;-;Tütün ürünleri imalatı;12;Tütün İşleme Sanayi;314;www.philsa.com.tr;İzmir;Torbalı;7 Eylül Mah. Philsa Cad. No.32 ;(232) 8501111;-;accounting.philsa@pmi.com;35860
52;63;Konya Şeker San. ve Tic. A.Ş.;2023;20.601.460.438;49;21.519.630.223;62;59;-;-;-;-;-;-;57.406.991.497;26;24;-;-;-;-;-;-;-;-;-;3.360;59;53;Konya Sanayi Odası;-;100,00;-;-;Gıda ürünlerinin imalatı;10;Gıda Maddeleri Sanayi;311;www.konyaseker.com.tr;Konya;Meram;Melikşah Mah. Beyşehir Cad. No.41;(332) 3240353;(332) 2214755;konyaseker@konyaseker.com.tr;42080
53;61;Nadir Metal Rafineri San. ve Tic. A.Ş.;2023;20.556.988.391;50;112.212.052.915;10;9;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;İstanbul Sanayi Odası;-;100,00;-;-;Ana metal sanayii;24;Demir-Çelik Dışında Ana Metal Sanayi;372;www.nadirmetal.com.tr;İstanbul;Bahçelievler;Merkez Mah. Kuyumcular Sok. İstanbul Vizyon Park Genel Merkez Plaza No.4 İç Kapı No.1101 Yenibosna;(212) 6030967;(212) 6030967;info@nadirmetal.com.tr;34197
54;70;SÜTAŞ Süt Ürünleri A.Ş.;2023;20.336.265.797;51;23.607.173.487;54;51;-;-;-;-;-;-;16.352.557.099;115;108;-;-;-;-;-;-;18.830;391;385;4.802;32;29;Karacabey Ticaret ve Sanayi Odası;-;100,00;-;-;Gıda ürünlerinin imalatı;10;Gıda Maddeleri Sanayi;311;www.sutas.com.tr;Bursa;Karacabey;Uluabat Mah.;(224) 6885101;(224) 6885229;muhasebe@sutas.com.tr;16700
55;62;BRİSA Bridgestone Sabancı Lastik San. ve Tic. A.Ş.;2023;20.113.405.678;52;21.818.164.565;61;58;8.122.785.629;37;34;13.606.710.773;74;70;34.761.169.801;51;46;2.568.057.859;60;56;4.517.731.538;46;44;319.209;49;47;3.712;47;42;İstanbul Sanayi Odası;-;43,63;43,63;12,74;Kauçuk ve plastik ürünlerin imalatı;22;Lastik Ürünleri Sanayi;355;www.brisa.com.tr;Kocaeli;İzmit;Fatih Mah. Sanayi Cad. No.98 Alikahya;(262) 3164000;(262) 3165722;info.muhasebe@brisa.com.tr;41310
56;45;AKSA Akrilik Kimya Sanayii A.Ş.;2023;19.969.980.529;53;20.145.616.730;67;63;4.754.071.346;69;63;19.761.220.706;50;46;28.059.458.609;67;62;1.641.676.668;94;88;5.104.719.062;40;38;359.218;38;36;1.435;162;151;Yalova Ticaret ve Sanayi Odası;-;62,01;-;37,99;Kimyasalların ve kimyasal ürünlerin imalatı;20;Diğer Kimyasal Ürünler Sanayi;352;www.aksa.com;Yalova;Çiftlikköy;Merkez Mah. Ali Raif Dinçkök Cad. No.2 Taşköprü;(226) 3532545;-;aksa@aksa.com;77602
57;100;Tosyalı Demir Çelik Sanayi A.Ş.;2023;19.795.166.277;54;25.764.223.589;45;42;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;İskenderun Ticaret ve Sanayi Odası;-;100,00;-;-;Ana metal sanayii;24;Demir-Çelik Ana Metal Sanayi;371;www.tosyaliholding.com.tr;Hatay;İskenderun;Organize Sanayi Bölgesi Necati Özsoy Cad. No.12 Sarıseki;(326) 6562890;-;tosyali@tosyali.com.tr;31280
58;36;İçdaş Elektrik Enerjisi Üretim ve Yatırım A.Ş.;2023;19.745.608.408;55;19.745.608.408;70;66;5.628.250.674;56;51;18.976.980.149;54;50;20.867.326.379;89;84;5.857.954.942;28;25;4.386.854.246;48;46;-;-;-;645;330;317;Çanakkale Ticaret ve Sanayi Odası;-;100,00;-;-;Elektrik, gaz, buhar ve havalandırma sistemi üretim ve dağıtımı;35;"Elektrik Sektörü
";400;www.icdaselektrik.com;İstanbul;Bağcılar;Mahmutbey Mah. Dilmenler Cad. No.20 ;(212) 6040404;-;icdas@icdas.com.tr;34218
59;97;Otokar Otomotiv ve Savunma Sanayi A.Ş.;2023;19.738.359.970;56;22.814.404.742;57;54;6.367.205.376;51;47;8.389.988.870;122;115;30.799.131.227;60;55;783.068.129;177;170;3.460.074.412;72;69;646.267;26;25;4.159;42;38;İstanbul Sanayi Odası;-;72,15;-;27,85;Motorlu kara taşıtı, treyler (römork) ve yarı treyler (yarı römork) imalatı;29;Taşıt Araçları Sanayi;384;www.otokar.com.tr;İstanbul;Maltepe;Aydınevler Mah. Saygı Cad. No.58;(216) 4892950;-;kyl@otokar.com.tr;34854
60;71;Şenpiliç Gıda Sanayi A.Ş.;2023;19.306.938.621;57;19.354.004.025;72;68;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Sakarya Ticaret ve Sanayi Odası;-;100,00;-;-;Gıda ürünlerinin imalatı;10;Gıda Maddeleri Sanayi;311;www.senpilic.com.tr;İstanbul;Ataşehir;Barbaros Mah. Kardelen Sok. No.2/68 Palladium Tower;(216) 9877700;(216) 9877711;muhasebe@senpilic.com.tr;34746
61;53;ASAŞ Alüminyum San. ve Tic. A.Ş.;2023;18.635.674.044;58;18.933.064.019;73;69;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;İstanbul Sanayi Odası;-;100,00;-;-;Ana metal sanayii;24;Demir-Çelik Dışında Ana Metal Sanayi;372;www.asastr.com;İstanbul;Beykoz;Rüzgarlıbahçe Mah. Kumlu Sok. Asaş İş Merkezi No.2 Kavacık;(216) 6800780;(216) 6800782;info@asastr.com;34810
62;126;MAN Türkiye A.Ş.;2023;18.214.994.073;59;18.214.994.074;76;72;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;631.120;27;26;-;-;-;Ankara Sanayi Odası;-;0,01;99,99;-;Motorlu kara taşıtı, treyler (römork) ve yarı treyler (yarı römork) imalatı;29;Taşıt Araçları Sanayi;384;www.man.eu;Ankara;Akyurt;Saracalar Mah. Özal Bulvarı No.212;(312) 5561000;(312) 5561485;intcom@man.eu;06750
63;35;Atlas Enerji Üretim A.Ş.;2023;17.965.331.861;60;21.356.347.901;63;60;-;-;-;-;-;-;29.777.543.577;62;57;-;-;-;-;-;-;1.131;451;444;427;394;381;İstanbul Sanayi Odası;-;100,00;-;-;Elektrik, gaz, buhar ve havalandırma sistemi üretim ve dağıtımı;35;"Elektrik Sektörü
";400;www.dilerhld.com;İstanbul;Sarıyer;Maslak Mah. Eski Büyükdere Cad. Koçkaya As Plaza Blok No.1 Kat.2;(212) 2536630;-;atlasenerji.muhasebe@dilerhld.com;34398
64;46;Toros Tarım San. ve Tic. A.Ş.;2023;17.964.552.445;61;19.668.507.282;71;67;2.369.483.373;152;144;13.828.215.225;73;69;22.116.703.785;84;79;377.405.090;271;262;2.116.722.925;130;127;40.712;325;320;546;355;342;İstanbul Sanayi Odası;-;100,00;-;-;Kimyasalların ve kimyasal ürünlerin imalatı;20;Ana Kimya Sanayi;351;www.toros.com.tr;İstanbul;Şişli;Büyükdere Cad. Tekfen Tower No.209 Kat.19-20 4.Levent ;(212) 3570202;-;toros@toros.com.tr;34335
65;57;Borusan Birleşik Boru Fabrikaları San. ve Tic. A.Ş.;2023;17.503.944.950;62;17.548.775.046;81;77;4.558.121.158;72;66;7.612.591.622;132;125;23.052.308.289;79;74;-1.143.442.612;471;459;3.599.483.517;65;62;327.079;47;45;1.676;137;126;İstanbul Sanayi Odası;-;80,15;-;19,85;Ana metal sanayii;24;Demir-Çelik Ana Metal Sanayi;371;www.borusanboru.com;İstanbul;Beyoğlu;Pürtelaş Mah. Meclisi Mebusan Cad. No.35-37 ;(212) 3935800;(212) 3935763;bmb.investor@borusan.com;34427
66;50;Baştuğ Metalurji Sanayi A.Ş.;2023;17.464.234.518;63;18.464.990.585;75;71;-;-;-;2.029.183.324;356;343;10.547.003.994;172;164;-;-;-;751.449.676;330;319;65.893;270;266;757;296;283;Osmaniye Ticaret ve Sanayi Odası;-;100,00;-;-;Ana metal sanayii;24;Demir-Çelik Ana Metal Sanayi;371;www.bastugmetalurji.com.tr;Osmaniye;Toprakkale;Osmaniye Organize Sanayi Bölgesi Mustafa Baştuğ Cad. No.8;(328) 8268400;-;info@bastugmetalurji.com.tr;80950
67;85;Türkiye Şeker Fabrikaları A.Ş.;2023;17.427.614.397;4;17.431.156.227;86;5;3.539.343.325;100;7;8.399.430.770;121;7;40.530.134.299;42;5;-3.339.986.030;492;13;-806.157.937;499;13;-;-;-;5.670;21;2;Kamu;100,00;-;-;-;Gıda ürünlerinin imalatı;10;Gıda Maddeleri Sanayi;311;www.turkseker.gov.tr;Ankara;Çankaya;Mithatpaşa Cad. No.14 Yenişehir;(312) 4585500;-;-;06100
68;54;Tatmetal Çelik San. ve Tic. A.Ş.;2023;16.895.741.412;64;17.356.924.449;88;82;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;353.636;40;38;-;-;-;İstanbul Sanayi Odası;-;100,00;-;-;Ana metal sanayii;24;Demir-Çelik Ana Metal Sanayi;371;www.tatmetal.com.tr;İstanbul;Ataşehir;Küçükbakkalköy Mah. Rüya Sok. No.12-18 Kat.20 D.100;(216) 5740828;(372) 3343730;muhasebe@tatmetal.com.tr;34750
69;56;Diler Demir Çelik Endüstri ve Ticaret A.Ş.;2023;16.870.241.364;65;17.434.292.164;85;81;-;-;-;-;-;-;24.706.386.937;73;68;-;-;-;-;-;-;298.846;60;58;1.102;216;204;İstanbul Sanayi Odası;-;100,00;-;-;Ana metal sanayii;24;Demir-Çelik Ana Metal Sanayi;371;www.dilerholding.com.tr;İstanbul;Sarıyer;Maslak Mah. Eskibüyükdere Cad. Koçkaya As Plaza Blok No.1 Kat.2 ;(212) 2536630;-;diler.muhasebe@dilerhld.com;34485
70;68;Petlas Lastik San. ve Tic. A.Ş.;2023;16.621.581.912;66;16.692.555.978;91;85;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Kırşehir Ticaret ve Sanayi Odası;0,03;99,97;-;-;Kauçuk ve plastik ürünlerin imalatı;22;Lastik Ürünleri Sanayi;355;www.petlas.com.tr;Kırşehir;Merkez;Kındam Mah. Ankara-Kayseri Cad. No.2/1 ;(386) 2526550;-;info@petlas.com.tr;40100
71;-;-;2023;-;67;-;69;65;-;121;114;-;188;178;-;261;250;-;117;111;-;140;135;-;330;325;-;50;45;Bolu Ticaret ve Sanayi Odası;-;100,00;-;-;Gıda ürünlerinin imalatı;10;Gıda Maddeleri Sanayi;311;-;-;-;-;-;-;-;-
72;116;Hidromek-Hidrolik ve Mekanik Makina İmalat San. ve Tic. A.Ş.;2023;16.084.860.682;68;17.482.026.812;83;79;-;-;-;-;-;-;21.242.875.275;87;82;-;-;-;-;-;-;268.758;69;67;2.265;100;90;Ankara Sanayi Odası;-;100,00;-;-;Başka yerde sınıflandırılmamış makine ve ekipman imalatı;28;Makine Sanayi (Elektrikli Olanlar Hariç);382;www.hidromek.com.tr;Ankara;Sincan;Ahi Evran OSB Mah. Osmanlı Cad. No.1;(312) 2671260;(312) 2671261;info@hidromek.com.tr;06935
73;125;Merinos Halı San. ve Tic. A.Ş.;2023;15.598.946.872;69;17.871.207.516;78;74;6.572.793.913;47;44;19.678.821.212;51;47;36.922.002.344;50;45;464.337.566;247;238;3.274.211.963;80;77;413.128;32;30;7.330;12;12;Gaziantep Sanayi Odası;-;100,00;-;-;Tekstil ürünlerinin imalatı;13;Dokuma Sanayi;321;www.merinos.com.tr;Gaziantep;Şehitkamil;4. Organize Sanayi Bölgesi M. Lütfullah Bilgin Bulvarı No.21;(342) 2114000;(342) 3290041;merinos@merinos.com.tr;27630
74;88;Banvit Bandırma Vitaminli Yem Sanayi A.Ş.;2023;15.416.565.566;70;17.514.009.351;82;78;3.789.706.378;91;85;4.520.954.877;205;194;10.031.751.845;182;174;1.360.546.659;120;114;2.727.223.824;91;88;114.873;188;185;4.816;31;28;Balıkesir Sanayi Odası;-;-;91,71;8,29;Gıda ürünlerinin imalatı;10;Gıda Maddeleri Sanayi;311;www.banvit.com;Balıkesir;Bandırma;Ömerli Mah. Ömerli Sok. No.208;(266) 7338600;(266) 7338600;bilgi@banvit.com;10201
75;59;Erdemir Çelik Servis Merkezi San. ve Tic. A.Ş.;2023;15.272.938.661;71;22.707.861.124;58;55;-;-;-;-;-;-;9.471.763.202;196;188;-;-;-;-;-;-;76.053;254;250;309;437;424;Kocaeli Sanayi Odası;-;100,00;-;-;Ana metal sanayii;24;Demir-Çelik Ana Metal Sanayi;371;www.ersem.com.tr;Kocaeli;Gebze;Gebze Organize Sanayi Bölgesi Mah. 700. Sok. No.724/1 ;(262) 6792727;(262) 6792776;maliisler@ersem.com.tr;41480
76;94;Gümüşdoğa Su Ürünleri Üretim İhracat ve İthalat A.Ş.;2023;15.226.704.017;72;16.006.233.289;96;90;5.112.881.138;62;56;9.857.687.927;100;94;20.568.029.318;90;85;2.409.788.145;65;61;4.283.327.089;51;48;309.389;54;52;3.029;70;62;Milas Ticaret ve Sanayi Odası;-;100,00;-;-;Gıda ürünlerinin imalatı;10;Gıda Maddeleri Sanayi;311;www.gumusdoga.com.tr;Muğla;Milas;Akyol Mah. Merkez Sok. No.240/A;(252) 5366228;(536) 8627331;info@gumusdoga.com.tr;48200
77;77;Sarten Ambalaj San. ve Tic. A.Ş.;2023;14.976.980.254;73;15.098.279.691;100;94;-;-;-;6.711.388.112;145;137;17.107.740.830;108;101;-;-;-;-;-;-;226.017;92;89;3.668;49;44;İstanbul Sanayi Odası;-;85,00;15,00;-;Fabrikasyon metal ürünleri imalatı (makine ve teçhizat hariç);25;Metal Eşya Sanayi;381;www.sarten.com.tr;İstanbul;Şişli;Ferko Signature Büyükdere Cad. No.175/100;(212) 2757660;(850) 7557786;sarten@sarten.com.tr;34398
78;90;Abalıoğlu Lezita Gıda Sanayi A.Ş.;2023;14.882.410.330;74;16.422.088.519;93;87;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Denizli Sanayi Odası;-;100,00;-;-;Gıda ürünlerinin imalatı;10;Gıda Maddeleri Sanayi;311;www.abalioglu.com;Denizli;Merkezefendi;Eskihisar Mah. Pamukkale Bulvarı No.2/A;(232) 4884000;-;info@abalioglu.com;-
79;117;Abdi İbrahim İlaç San. ve Tic. A.Ş.;2023;14.525.438.467;75;17.352.009.561;89;83;-;-;-;-;-;-;30.137.564.598;61;56;-;-;-;-;-;-;64.158;275;271;4.715;36;33;İstanbul Sanayi Odası;-;100,00;-;-;Temel eczacılık ürünlerinin ve eczacılığa ilişkin malzemelerin imalatı;21;Diğer Kimyasal Ürünler Sanayi;352;www.abdiibrahim.com.tr;İstanbul;Sarıyer;Reşitpaşa Mah. Eski Büyükdere Cad. No.4 Maslak;(212) 3668400;-;info@abdiibrahim.com.tr;34467
80;81;Bunge Gıda San. ve Tic. A.Ş.;2023;14.444.401.386;76;18.093.269.222;77;73;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;88.506;224;221;410;405;392;İstanbul Sanayi Odası;-;-;100,00;-;Gıda ürünlerinin imalatı;10;Gıda Maddeleri Sanayi;311;www.bunge.com.tr;İstanbul;Maltepe;Aydınevler Sanayi Cad. Centrum İş Merkezi No.3/301 Küçükyalı;(216) 4172700;(216) 5872761;beu.muhasebe.ist@bunge.com;34840
81;247;Same Deutz Fahr Traktör San. ve Tic. A.Ş.;2023;14.441.779.139;77;14.871.456.684;104;98;3.899.375.377;88;82;4.516.462.086;206;195;7.992.104.609;238;228;3.361.643.748;41;38;3.619.039.826;64;61;86.613;229;226;523;366;353;Balıkesir Sanayi Odası;-;-;100,00;-;Başka yerde sınıflandırılmamış makine ve ekipman imalatı;28;Makine Sanayi (Elektrikli Olanlar Hariç);382;www.deutz-fahr.com;İstanbul;Maltepe;Gold Plaza Altayçeşme Mah. Öz Sok. No.19 Kat.4 D.23-24;(216) 5000500;-;info@sdfbis.com;34843
82;86;Asil Çelik San. ve Tic. A.Ş.;2023;14.438.684.400;78;14.469.239.350;107;101;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;185.345;112;109;1.206;195;184;Orhangazi Ticaret ve Sanayi Odası;-;100,00;-;-;Ana metal sanayii;24;Demir-Çelik Ana Metal Sanayi;371;www.asilcelik.com.tr;Kocaeli;Çayırova;TOSB Otomotiv (OSB) Mah. 13. Sok. No.3/1;(262) 7816000;(224) 2806100;asilcelik@asilcelik.com.tr;41420
83;93;Limak Çimento San. ve Tic. A.Ş.;2023;14.319.372.306;79;14.771.742.473;105;99;5.988.057.349;52;48;9.600.126.487;107;101;32.416.999.198;54;49;-827.489.411;463;451;5.942.821.496;35;33;52.870;295;290;1.422;165;154;Siirt Ticaret ve Sanayi Odası;-;100,00;-;-;Diğer metalik olmayan mineral ürünlerin imalatı;23;Taş ve Toprağa Dayalı Diğer Sanayi;369;www.limakcimento.com;Siirt;Kurtalan;Oyacık Köyü Mevkii Siirt Yolu Üzeri 4. km ;(484) 4112291;(533) 5471100;limakcimento@limakcement.com;56500
84;102;Akçansa Çimento San. ve Tic. A.Ş.;2023;13.993.128.160;80;15.010.123.081;103;97;5.150.843.977;61;55;12.566.670.401;78;74;17.714.550.665;106;99;3.042.022.407;51;47;3.665.502.114;62;59;124.858;174;171;1.005;238;226;İstanbul Sanayi Odası;-;39,72;39,72;20,56;Diğer metalik olmayan mineral ürünlerin imalatı;23;Taş ve Toprağa Dayalı Diğer Sanayi;369;www.akcansa.com.tr;İstanbul;Ataşehir;Barbaros Mah. Kardelen Sok. Palladıum Tower  No.2/125;(216) 5713000;(554) 2302284;info@akcansa.com.tr;34750
85;58;Tosyalı Toyo Çelik A.Ş.;2023;13.826.743.463;81;13.828.860.228;114;107;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Osmaniye Ticaret ve Sanayi Odası;-;51,00;49,00;-;Ana metal sanayii;24;Demir-Çelik Ana Metal Sanayi;371;www.tosyalitoyo.com.tr;Osmaniye;Toprakkale;Osmaniye OSB Büyük Tüysüz Mah. Kudamatsu Cad. No.4;(536) 2677471;(328) 8271500;muhasebe@tosyalitoyo.com.tr;80950
86;82;Modern Oluklu Mukavva Ambalaj San. ve Tic. A.Ş.;2023;13.701.734.228;82;13.976.245.497;112;105;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;İstanbul Sanayi Odası;-;100,00;-;-;Kağıt ve kağıt ürünlerinin imalatı;17;Kağıt ve Kağıt Ürünleri Sanayi;341;www.modern-ambalaj.com.tr;İstanbul;Ataşehir;Atatürk Mah. Ertuğrul Gazi Sok. Metropol İstanbul C2 Blok No.2 A İç Kapı No.12;(216) 6063737;-;info@modern-ambalaj.com.tr;34758
87;128;Astor Enerji A.Ş.;2023;13.694.945.825;83;14.271.602.387;108;102;7.212.122.239;43;40;11.714.724.224;84;80;17.858.600.304;105;98;4.741.539.178;33;30;6.004.742.769;34;32;167.412;126;123;1.730;131;121;Ankara Sanayi Odası;-;78,96;-;21,04;Elektrikli teçhizat imalatı;27;Elektrik Makineleri, Aletleri ve Cihazları Sanayi;383;www.astoras.com.tr;Ankara;Sincan;Alcı OSB Mah. 2001 Cad. A Blok No.5/A;(312) 2670156;(312) 2670157;info@astoras.com.tr;06935
88;64;Modern Karton San. ve Tic. A.Ş.;2023;13.665.437.587;84;13.908.264.994;113;106;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Çorlu Ticaret ve Sanayi Odası;-;100,00;-;-;Kağıt ve kağıt ürünlerinin imalatı;17;Kağıt ve Kağıt Ürünleri Sanayi;341;www.modernkarton.com.tr;İstanbul;Ataşehir;Atatürk Mah. Ertuğrul Gazi Sok. Metropol İstanbul Sitesi C2 Apt. No.2A/25;(216) 6063737;-;info@modernkarton.com.tr;34758
89;107;Köksan Pet ve Plastik Ambalaj San. ve Tic. A.Ş.;2023;13.663.852.946;85;25.788.904.107;44;41;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;224.240;94;91;-;-;-;Gaziantep Sanayi Odası;-;100,00;-;-;Kauçuk ve plastik ürünlerin imalatı;22;Başka Yerde Sınıflandırılmamış Plastik Ürünler Sanayi;356;www.koksan.com;Gaziantep;Şehitkamil;4. Organize Sanayi Bölgesi 83422 Nolu Cad. No.10;(342) 3570330;(342) 3570331;info@koksan.com;27600
90;80;Eti Soda Üretim Pazarlama Nakliyat ve Elektrik Üretim San. ve Tic. A.Ş.;2023;13.637.431.613;86;13.653.680.297;116;109;-;-;-;14.237.763.681;68;64;18.394.935.926;103;97;-;-;-;-;-;-;400.433;33;31;644;332;319;Ankara Sanayi Odası;26,00;74,00;-;-;Diğer madencilik ve taş ocakçılığı;08;"Madencilik ve Taşocakçılığı
";210;www.etisoda.com;Ankara;Beypazarı;Yeşilağaç Mah. Gürağaç Kümeevler Trona Tesisleri No.47/A;(312) 7633801;-;etisoda@etisoda.com;06730
91;105;HES Hacılar Elektrik San. ve Tic. A.Ş.;2023;13.617.381.950;5;13.618.069.715;117;8;2.744.017.799;130;8;5.406.467.491;173;10;8.779.921.314;217;10;2.179.992.868;70;6;1.947.383.463;137;5;264.178;75;3;1.121;212;12;Kamu;100,00;-;-;-;Elektrikli teçhizat imalatı;27;Elektrik Makineleri, Aletleri ve Cihazları Sanayi;383;www.hes.com.tr;Kayseri;Hacılar;Erciyes Mah. Hes Cad. No.22;(352) 2074500;(535) 4600488;hes@hes.com.tr;38210
92;122;JTI Tütün Ürünleri Sanayi A.Ş.;2023;13.586.056.173;87;14.210.787.690;109;103;51.912.746.033;5;5;8.288.250.524;123;116;30.978.186.194;59;54;579.128.715;224;217;1.161.350.511;228;221;196.556;103;100;918;259;246;Ege Bölgesi Sanayi Odası;-;-;100,00;-;Tütün ürünleri imalatı;12;Tütün İşleme Sanayi;314;www.jti.com;İzmir;Torbalı;Torbalı Çapak Mah. 2561 Sok. No.12;(232) 8500000;-;info@jti.com;35860
93;66;Abalıoğlu Yağ San. ve Tic. A.Ş.;2023;13.525.588.087;88;15.300.539.636;98;92;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Ege Bölgesi Sanayi Odası;-;100,00;-;-;Gıda ürünlerinin imalatı;10;Gıda Maddeleri Sanayi;311;www.abaliogluyag.com;İzmir;Çiğli;Atatürk Organize Sanayi Bölgesi 10006/1 Sok. No.19;(232) 3283172;(232) 3283173;muhasebe@abaliogluyag.com;35620
94;76;İpragaz A.Ş.;2023;13.417.330.054;89;16.064.828.788;95;89;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;İstanbul Sanayi Odası;-;-;100,00;-;Kok kömürü ve rafine edilmiş petrol ürünleri imalatı;19;Petrol Ürünleri Sanayi;353;www.ipragaz.com.tr;İstanbul;Ataşehir;Atatürk Mah. Ertuğrul Gazi Sok. Metropol İstanbul Sitesi C2 Blok No.2A/25 (Kat.21-24);(216) 5135150;-;ipranet@ipragaz.com.tr;34758
95;49;MMK Metalurji San. Tic. ve Liman İşletmeciliği A.Ş.;2023;13.348.234.397;90;15.068.522.383;102;96;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Dörtyol Ticaret ve Sanayi Odası;-;-;100,00;-;Ana metal sanayii;24;Demir-Çelik Ana Metal Sanayi;371;www.mmkturkey.com.tr;Hatay;Dörtyol;Özerli Mah. Alparslan Türkeş Bulvarı No.342/91;(326) 7701100;(326) 7701000;muhasebe@mmkturkey.com.tr;31600
96;98;Yeşilyurt Demir Çelik Endüstri ve Liman İşletmeleri A.Ş.;2023;13.297.274.168;91;13.792.280.850;115;108;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;17.349;396;390;-;-;-;Samsun Ticaret ve Sanayi Odası;-;100,00;-;-;Ana metal sanayii;24;Demir-Çelik Ana Metal Sanayi;371;www.yesilyurtdc.com.tr;Samsun;Tekkeköy;Cumhuriyet Mah. Akal Cad. No.1;(362) 2562330;(362) 2562331;muhasebe@yesilyurtdc.com.tr;55300
